Check Dup,Restaurant ID,Restaurant Name,Cuisine Keywords,Chain (Y/N),Address,City,Neighborhood,Google Maps Link,Profile Picture,Operational (Y/N),Coordinates
1,CASAMÍAI,Casa Mía Italian restaurant,Italian,No,"4723 Rigsby Ave Suite 111, San Antonio, TX 78222",San Antonio,Southeast Side,"https://www.google.com/maps/place/Casa+M%C3%ADa+Italian+restaurant/@29.3987663,-98.4013812,17z/data=!4m15!1m8!3m7!1s0x865cf6cd07f08c25:0x1cbdf792f47a06ad!2s4723+Rigsby+Ave,+San+Antonio,+TX+78222!3b1!8m2!3d29.3987663!4d-98.3991925!16s%2Fg%2F11q40465sx!3m5!1s0x865cf6cda6214b71:0x3fd394fcc4ab5411!8m2!3d29.3987663!4d-98.3991925!16s%2Fg%2F11vf6c6rx3?entry=ttu&g_ep=EgoyMDI1MDQwMi4xIKXMDSoASAFQAw%3D%3D",https://lh3.googleusercontent.com/p/AF1QipNxOd79hNsZ7V8YWWMRBGiMSa3gEvG1gcxrdvrq=w533-h240-k-no,Yes,"29.3987663,-98.4013812"
1,CHESCHIC,Che's Chicken & Burgers,"American, Fried Chicken",No,"4303 S Presa St #1045, San Antonio, TX 78223",San Antonio,South Side,"https://www.google.com/maps/place/Che's+Chicken+%26+Burgers/@29.3811036,-98.4798396,17z/data=!4m15!1m8!3m7!1s0x865cf62cb9572413:0xf739d09f96f96bd!2s4303+S+Presa+St,+San+Antonio,+TX+78223!3b1!8m2!3d29.3810704!4d-98.4777039!16s%2Fg%2F11bw4lz592!3m5!1s0x865cf62cbfa65ddb:0x8ab7bccbdc2db192!8m2!3d29.3811036!4d-98.4776509!16s%2Fg%2F1tdk0_r8?entry=ttu&g_ep=EgoyMDI1MDQwMi4xIKXMDSoASAFQAw%3D%3D",https://lh3.googleusercontent.com/p/AF1QipP4Nec8Or3WQkHWwxEmk90ctR26w3DztbBm_BZh=w408-h544-k-no,Yes,"29.3811036,-98.4798396"
1,CHINABOW,China Bowl,Chinese,No,"1361 S Main St # 301, Boerne, TX 78006",Boerne,Boerne (Downtown),"https://www.google.com/maps/place/China+Bowl/@29.7792071,-98.7267379,17z/data=!4m15!1m8!3m7!1s0x865c76b55ca33b85:0xda8f512e947a9798!2s1361+S+Main+St,+Boerne,+TX+78006!3b1!8m2!3d29.7792071!4d-98.7267379!16s%2Fg%2F11f03kznlm!3m5!1s0x865c76b54487c48f:0x571ec8cc3111d832!8m2!3d29.7792196!4d-98.7268184!16s%2Fg%2F1tk8cjr3?entry=ttu&g_ep=EgoyMDI1MDQwMi4xIKXMDSoASAFQAw%3D%3D",https://lh3.googleusercontent.com/p/AF1QipMfEfBh15kY-lqr4SNTa1RvIM_lMJKTFL1eMj7k=w427-h240-k-no,Yes,"29.7792071,-98.7267379"
1,COMFORTC,Comfort Cafe,"American, Cafe",No,"6812 Bandera Rd, San Antonio, TX 78238",San Antonio,Leon Valley,"https://www.google.com/maps/place/Comfort+Cafe+San+Antonio+-+Bandera/@29.4957571,-98.62118,17z/data=!3m1!5s0x865c5d70c9413743:0xfe5910dc0f139701!4m15!1m8!3m7!1s0x865c5d7736a57779:0x4a6a1f1d13312bc3!2s6812+Bandera+Rd,+San+Antonio,+TX+78238!3b1!8m2!3d29.4957571!4d-98.62118!16s%2Fg%2F11jncwxz59!3m5!1s0x865c5d138dca24eb:0xf677820f42928fb!8m2!3d29.4962911!4d-98.6215692!16s%2Fg%2F11v3_61f67?entry=ttu&g_ep=EgoyMDI1MDQwMi4xIKXMDSoASAFQAw%3D%3D",https://lh3.googleusercontent.com/p/AF1QipMDSM3KusQKNBtlvC14KeqKsTEakrOlCzdnEUmZ=w426-h240-k-no,Yes,"29.4957571,-98.6211800"
1,CORUS471,Corus 471 Grill,"American, Grill",No,"2204 FM471, Castroville, TX 78009",Castroville,Castroville,"https://www.google.com/maps/place/Cora's+471+Grill/@29.391373,-98.8901743,17z/data=!4m15!1m8!3m7!1s0x865c392e38411839:0x81810d37a09e5b2e!2s2204+FM471,+Castroville,+TX+78009!3b1!8m2!3d29.391373!4d-98.8901743!16s%2Fg%2F11bw4mfxw4!3m5!1s0x865c392e0b732e2d:0xdade3ade94998788!8m2!3d29.3913762!4d-98.8902008!16s%2Fg%2F1v9lc5wh?entry=ttu&g_ep=EgoyMDI1MDQwMi4xIKXMDSoASAFQAw%3D%3D",https://lh3.googleusercontent.com/p/AF1QipM7fcCN4mHP6Mi4aObZ_q49YZJSXAauXK5HsvWp=w493-h240-k-no,Yes,"29.3913730,-98.8901743"
1,CUBA1918,Cuba 1918,Cuban,No,"2809 W Southcross Blvd, San Antonio, TX 78211",San Antonio,South Side,"https://www.google.com/maps/place/Cuba+1918/@29.3693709,-98.5609193,17z/data=!3m1!4b1!4m6!3m5!1s0x865c594c0fa0a90b:0x5dc3ae5dc1624bbe!8m2!3d29.3693662!4d-98.5583444!16s%2Fg%2F11sr6_609y?entry=ttu&g_ep=EgoyMDI1MDQwMi4xIKXMDSoASAFQAw%3D%3D",https://lh3.googleusercontent.com/p/AF1QipN_wKgH11FmAOP1BtI-3QkC0zEAeXCdmhD4vY8w=w408-h547-k-no,Yes,"29.3693709,-98.5609193"
1,CURRYBOYTH,Curry Boys BBQ (Tobin Hill),"BBQ, Fusion",No,"536 E Courtland Pl, San Antonio, TX 78212",San Antonio,Tobin Hill,"https://www.google.com/maps/place/Curry+Boys+BBQ/@29.4478628,-98.4906158,17z/data=!3m1!4b1!4m6!3m5!1s0x865c5f1bd8e8b961:0xfaae01922b0b4a3e!8m2!3d29.4478582!4d-98.4880409!16s%2Fg%2F11qmc4bt7n?entry=ttu&g_ep=EgoyMDI1MDQwMi4xIKXMDSoASAFQAw%3D%3D",https://lh3.googleusercontent.com/p/AF1QipO2IREQRKLlxTHk4WhouPWWruMWSI4kNPa9v3SB=w408-h544-k-no,Yes,"29.4478628,-98.4906158"
1,CURRYBOYSO,Curry Boys BBQ (Stone Oak),"BBQ, Fusion",No,"19903 Stone Oak Pkwy Suite 101, San Antonio, TX 78258",San Antonio,Stone Oak,"https://www.google.com/maps/place/Curry+Boys+BBQ/@29.6763337,-98.4807042,12.29z/data=!4m6!3m5!1s0x865c6321d0e2e90d:0x75896389b71b5a0f!8m2!3d29.642211!4d-98.4908511!16s%2Fg%2F11y5pm3_rb?entry=ttu&g_ep=EgoyMDI1MDQwMi4xIKXMDSoASAFQAw%3D%3D",https://lh3.googleusercontent.com/p/AF1QipNkSf7x8hWp4Q04MZCRlZDP6u6mXM3C6BoJTrl3=w426-h240-k-no,Yes,"29.6763337,-98.4807042"
1,DARKSIDE,Darkside Brick Oven Pizza Co,"Italian, Pizza",No,"25 Truss Dr, Boerne, TX 78006",Boerne,Boerne (Fair Oaks Ranch),"https://www.google.com/maps/place/Darkside+Brick+Oven+Pizza+Co/@29.813195,-98.6253909,17z/data=!3m1!4b1!4m6!3m5!1s0x865c79bca8fcd2e5:0xdf677c1d98582c45!8m2!3d29.813195!4d-98.622816!16s%2Fg%2F11kpgvf3kk?entry=ttu&g_ep=EgoyMDI1MDQwMi4xIKXMDSoASAFQAw%3D%3D",https://lh3.googleusercontent.com/p/AF1QipMh78Ri-Z3H0FdJ-_N7J6HpqWqIo7MqRXeIYN0y=w408-h306-k-no,Yes,"29.8131950,-98.6253909"
1,DONPEDRO,Don Pedro Mexican Restaurant,Mexican,No,"1526 SW Military Dr, San Antonio, TX 78221",San Antonio,South Side,"https://www.google.com/maps/place/Don+Pedro+Mexican+Restaurant/@29.3562481,-98.5198642,17z/data=!3m1!4b1!4m6!3m5!1s0x865c584870ffd9db:0x1184aec209dc665b!8m2!3d29.3562481!4d-98.5172893!16s%2Fm%2F0521px2?entry=ttu&g_ep=EgoyMDI1MDQwMi4xIKXMDSoASAFQAw%3D%3D",https://lh3.googleusercontent.com/p/AF1QipMfF_LmTZVx5T8AsYlHnx3GHaotZDGxJ8ih8mQV=w408-h409-k-no,Yes,"29.3562481,-98.5198642"
